TempleID,TempleName,Block_Name
t112,"அருள்மிகு வரகுணபாண்டீஸ்வரர் திருக்கோயில், இராதாபுரம்",unknown
t113,"அருள்மிகு சுயம்புலிங்க சுவாமி திருக்கோயில்.. உவரி, இராதாபுரம்",unknown
t114,"அருள்மிகு நாறும்பூநாதசுவாமி திருக்கோயில், பழவூர், இராதாபுரம்",unknown
t115,அருள்மிகு திருப்பணி விநாயகர் திருக்கோயில்,unknown
t116,அருள்மிகு ஸ்ரீ காந்திமதியம்பாள் பத்திரதீப லட்சதீப கட்டளை நகர்,unknown
t117,அருள்மிகு தர்மசாசன கட்டளை (இ) அருள்மிகு நெல்லையப்பர் திருக்கோயில்,unknown
t118,"அருள்மிகு பகவதீஸ்வரர் திருக்கோயில், சுத்தமல்லி",unknown
t119,அருள்மிகு அறுபத்துமூவர் அன்னதான தர்மம் கட்டளை. திருநெல்வேலி நகர்,unknown
t120,காசுக்கடை மகமை சங்கம் (இ) அருள்மிகு நெல்லையப்பர் திருக்கோயில்,unknown
t121,அருள்மிகு பிள்ளையன் கட்டளைகள்,unknown
t122,அருள்மிகு நெல்லையப்பர் அருள்தரும் காந்திமதி அம்பாள் திருக்கோயில் நகர்,unknown
t123,"அருள்மிகு சுப்பிரமணிய சுவாமி திருக்கோயில், குறுத்துத்துறை",unknown
t124,"அருள்மிகு மாரியம்மன் திருக்கோயில், திருப்பணிகரிசல்குளம்",unknown
t125,"அருள்மிகு அம்பலவாணநாதசுவாமி திருக்கோயில், மானூர்",unknown
t126,அருள்மிகு திருஞானசம்பந்தமூர்த்தி திருக்கோயில்,unknown
t127,தொண்டர்கள் நயினார் திருக்கோயில்,unknown
t128,லட்சுமிநரசிங்கபெருமாள் திருக்கோயில்,unknown
t129,"கள்ளபிரான்சுவாமி திருக்கோயில், கங்கைகொண்டான்",unknown
t130,"அருள்மிகு சொக்கநாதசாமி திருக்கோயில், மேலவீரராகவபுரம்",unknown
t131,அருள்மிகு சந்திவிநாயகர் திருக்கோயில்,unknown
t132,"கைலாசநாதசுவாமி திருக்கோயில், கைலாசபுரம்",unknown
t133,"அருள்மிகு வெங்கடாசலபதி திருக்கோயில், மேலத்திருவேங்கடநாதபுரம்",unknown
t134,"அருள்மிகு வரதராஜபெருமாள் திருக்கோயில், மேலவீரராகவபுரம்",unknown
t135,"அருள்மிகு கண்ணம்மன் புதுஅம்மன் திருக்கோயில், மேலவீரராகவபுரம்",unknown
t136,"அருள்மிகு அன்னதானவிநாயகர் மற்றும் திரிபுரசுந்தரி அம்மன், திருக்கோயில் பேட்டை",unknown
t137,"பாளையஞ்சாலைக்குமார சுவாமி திருக்கோயில், சிந்துப்பூந்துறை",unknown
t138,"அருள்மிகு ராமலிங்கசெட்டியார் தர்மம் (இ) அருள்மிகு வெங்கடாசலபதி திருக்கோயில், மேலத்திருவேங்கடநாதபுரம்",unknown
t139,"அதிசயவிநாயகர் திருக்கோயில், வடக்கன்குளம், இராதாபுரம்",unknown
t140,"திரிபுரசுந்தரியம்மன் திருக்கோயில், பேட்டை",unknown
t141,"வாழவல்லபாண்டீஸ்வரர் திருக்கோயில், தருவை",unknown
t142,"குலசேகரமுடையார் திருக்கோயில், கொண்டாநகரம்",unknown
t143,"அழகிய கூத்தர் திருக்கோயில், செப்பறை",unknown
t144,"அக்னீஸ்வரர் திருக்கோயில், இராஜவல்லிபுரம்",unknown
t145,"தர்மராஜா திரௌபதியம்மன் திருக்கோயில், நேதாஜி ரோடு",unknown
t146,"தலைக்காவுடையார் சாஸ்தா திருக்கோயில், கல்குறிச்சி",unknown
t147,"வெங்கடாசலபதி திருக்கோயில், நரசிங்கநல்லூர்",unknown
t148,"வெங்கடாசலபதி திருக்கோயில், மகழ்வண்ணநாதபுரம்",unknown
t149,"முத்தாரம்மன் திருக்கோயில், சிவா தெரு",unknown
t150,அரசரடி விநாயகர் மற்றும் ராஜராஜேஸ்வரி அம்மன் திருக்கோயில்,unknown
t151,"கைலாசநாதர் திருக்கோயில், பிள்ளையார் குளம்",unknown
t152,"நவநீத கிருஷ்ணசுவாமி திருக்கோயில், பிள்ளையார் குளம்",unknown
t153,"சொக்கலிங்கசுவாமி திருக்கோயில், பிள்ளையார் குளம்",unknown
t162,ADIINPUT_UNKNOWN,Kalakadu
